"Country" "Year" "Child_mortality" "Fertility" "GDPPPP_percapita" "Gini" "Life_exp" "Population" "Population_density" "Population_over_60" "Urban_population"
"573" "Bosnia and Herzegovina" "1975" 5.18 2.49 4920 30.6 68.3 3.99 78.6 8.64 31.3
"574" "Botswana" "1975" 9.54 6.47 2680 54 59.1 0.741 1.28 4.81 11.9
"575" "Brazil" "1975" 11.6 4.5 8240 57.9 59.8 107 13 5.52 60.8
"576" "Brunei" "1975" 3.95 5.37 95200 34.1 65.7 0.162 27.7 4.25 64.2
"577" "Bulgaria" "1975" 2.86 2.19 11900 22 71.3 8.74 81.7 15.8 57.6
"578" "Burkina Faso" "1975" 28.5 6.86 836 48.2 46 6.15 22.4 5.74 6.35
"579" "Burundi" "1975" 25.1 7.37 979 33.8 47.2 3.7 144 5.27 3.52
"580" "Cambodia" "1975" 30.9 5.68 1080 43 24.7 7.52 37.2 4.9 4.48
"581" "Cameroon" "1975" 19 6.41 3010 34.9 53.6 7.45 15.9 6.11 27.3
"582" "Canada" "1975" 1.7 1.81 26400 33.3 73.6 23.1 2.54 12.3 75.6
"583" "Cape Verde" "1975" 11.6 6.77 1270 52.7 62.6 0.27 75.5 7.38 21.4
"584" "Central African Republic" "1975" 20.2 5.95 1550 69.5 48.4 1.96 3.67 6.19 32
"585" "Chad" "1975" 24.7 6.78 1240 35.9 50.4 4.09 3.24 5.99 15.6
"586" "Chile" "1975" 6.44 3.22 7160 52.4 66.2 10.6 14.1 6.65 78.4
"587" "China" "1975" 8.49 3.58 1310 27.9 62.8 926 95.3 6.38 17.4
"588" "Colombia" "1975" 7.85 4.52 6470 52.8 66.3 24.1 20.8 5.05 60.3
"589" "Comoros" "1975" 20.3 7.05 2180 50 52.9 0.257 150 6.38 21.2
"590" "Congo, Dem. Rep." "1975" 22.9 6.37 2650 42.3 50.9 22.9 10.2 4.65 25.8
"591" "Congo, Rep." "1975" 12.4 6.39 3430 44 49.7 1.54 4.76 5.46 43.3
"592" "Costa Rica" "1975" 4.63 3.81 8670 47.1 71.6 2.09 41.4 5.73 41.3
"593" "Cote d'Ivoire" "1975" 20.3 7.91 3270 49.8 54 6.41 21.6 4.11 32.2
"594" "Croatia" "1975" 2.79 1.99 14000 22.3 70.6 4.5 81.9 16 43.9
"595" "Cuba" "1975" 2.89 2.84 4340 39.5 73.2 9.45 89.1 9.18 64.2
"596" "Cyprus" "1975" 2.74 2.35 7700 29.9 68.5 0.65 69.8 13.4 47.3
"597" "Czech Republic" "1975" 2.58 2.33 15500 20 70.7 10.1 130 18.7 69.9
"598" "Denmark" "1975" 1.23 1.92 27000 30.4 74.2 5.06 119 18.7 82.1
"599" "Djibouti" "1975" 17.6 6.78 5450 36.2 60.1 0.224 9 4.4 67.1
"600" "Dominican Republic" "1975" 10.5 5.19 4610 44.2 67.2 5.14 106 4.64 45.7
"601" "Ecuador" "1975" 11.5 5.43 6880 42.9 64.1 6.99 28.6 5.69 42.4
"602" "Egypt" "1975" 21.5 5.83 3030 27.8 54.4 38.5 39 6.51 43.3
"603" "El Salvador" "1975" 13.1 5.72 5500 43.7 62.4 4.15 197 4.57 41.6
"604" "Equatorial Guinea" "1975" 22.8 5.79 3420 40.7 47.4 0.256 10.1 6.79 27.4
"605" "Estonia" "1975" 2.41 2.11 12300 38.9 70.2 1.42 32.8 17.2 67.6
"606" "Eswatini" "1975" 14.4 6.82 3540 61.3 54.5 0.5 29.3 4.51 14
"607" "Ethiopia" "1975" 24.3 7.14 972 51.5 40 32.6 32.3 4.69 9.46
"608" "Fiji" "1975" 5.38 4.05 6830 45 65 0.577 31.5 4.08 36.7
"609" "Finland" "1975" 1.23 1.69 21800 24.6 72.2 4.72 15.6 15.5 67.8
"610" "France" "1975" 1.49 2.06 24400 38.2 73.3 52.7 95.1 18.4 72.9
"611" "Gabon" "1975" 14.3 5.47 24400 62 55.6 0.648 2.57 10.5 43
"612" "Gambia" "1975" 26.4 6.29 2080 41.5 57 0.54 60.6 4.91 24.4
"613" "Georgia" "1975" 7.16 2.49 10100 28.4 66.7 4.87 71.5 11.9 50.3
"614" "Germany" "1975" 2.08 1.56 25000 28.8 71.7 78.9 225 20.5 72.6
"615" "Ghana" "1975" 18.6 6.82 2570 40.5 56.3 9.99 44.9 4.15 30
"616" "Greece" "1975" 2.63 2.5 16500 40.2 74.6 9.01 67.3 17.6 66.9
"617" "Grenada" "1975" 4.76 4.44 3880 40.4 69 0.0925 286 9.21 32.6
"618" "Guatemala" "1975" 14.6 6.54 6090 54.3 54.4 6.43 57.9 4.29 37.1
"619" "Guinea" "1975" 30.8 6.37 1390 50.9 45.1 4.49 18.7 6.48 19.5
"620" "Guinea-Bissau" "1975" 27.6 6.15 2020 42.2 43.6 0.766 23.5 7 15.9
"621" "Guyana" "1975" 7.26 4.5 5600 44.3 61.2 0.746 3.79 5.51 30
"622" "Haiti" "1975" 21.5 5.64 2910 59.4 49.7 5.09 186 6.55 20.4
"623" "Honduras" "1975" 11.9 6.84 3470 64.5 62.5 3.15 29.6 4.7 32.1
"624" "Hong Kong, China" "1975" 1.76 2.61 12600 43.4 73.5 4.21 4050 8.49 89.7
"625" "Hungary" "1975" 3.59 2.18 13400 20.8 69.4 10.5 116 18.4 62.2
"626" "Iceland" "1975" 1.28 2.65 22300 25.8 75.7 0.218 2.17 12.7 86.7
"627" "India" "1975" 19.5 5.19 1450 33.3 51.6 623 210 6.12 21.3
"628" "Indonesia" "1975" 14.1 5.04 2740 33.5 56.9 131 68.7 5.62 19.3
"629" "Iran" "1975" 15.1 6.21 12700 46.8 61.5 32.7 20.2 5.35 45.7
"630" "Iraq" "1975" 8.99 6.99 8000 30.9 64.2 11.7 26.8 6.95 61.4
"631" "Ireland" "1975" 2 3.57 15000 35.5 71.7 3.14 46.2 15.5 53.6
"632" "Israel" "1975" 2.62 3.66 18600 35.9 72.4 3.3 157 11.8 86.6
"633" "Italy" "1975" 2.31 2.12 22000 37 72.9 55.3 186 17.6 65.6
"634" "Jamaica" "1975" 4.78 4.48 7930 35.5 71 2.03 185 9.71 44
"635" "Japan" "1975" 1.33 2 20500 34 74.8 112 298 11.9 75.7
"636" "Jordan" "1975" 7 7.6 5090 36.9 65.4 2.07 21.2 4.13 57.6
"637" "Kazakhstan" "1975" 7.73 3.43 13900 42.8 65.7 14.1 4.87 8.63 52.6
"638" "Kenya" "1975" 13.2 7.84 2360 62.1 60.2 13.6 23.5 3.35 12.9
"639" "Kiribati" "1975" 12.5 4.98 8170 34.6 54 0.0551 83.6 6.08 29.6
"640" "Kuwait" "1975" 5.12 6.18 86200 34.3 70.5 1.02 61.5 2.65 89.4
"641" "Kyrgyz Republic" "1975" 11.2 4.88 6090 42.4 62.2 3.29 17.5 7.41 38.2
"642" "Lao" "1975" 22.3 6.06 1240 34.6 45.5 3.05 13.1 5.32 11.1
"643" "Latvia" "1975" 2.94 1.95 14700 24.4 69.5 2.47 40.1 17.6 64.2
"644" "Lebanon" "1975" 5.69 4.44 6680 43.9 62 2.58 263 7.43 67
"645" "Lesotho" "1975" 15.5 5.76 924 55.8 56.2 1.16 40.1 5.94 10.8
"646" "Liberia" "1975" 26.3 6.88 2510 36.8 48.1 1.6 17.4 4.89 30.4
"647" "Libya" "1975" 9.48 7.97 8880 38.8 67.7 2.65 1.37 4.69 62.8
"648" "Lithuania" "1975" 2.28 2.21 14800 26.6 71.1 3.3 53.8 15.2 55.7
"649" "Luxembourg" "1975" 1.67 1.57 35000 26.4 71.2 0.354 137 18.6 77.3
"650" "Madagascar" "1975" 16.8 7.1 2360 47.6 52 7.56 13.3 5.43 16.3
"651" "Malawi" "1975" 30.4 7.52 1060 50.5 45.5 5.38 55.9 4.5 7.65
"652" "Malaysia" "1975" 4.23 4.43 5110 54.7 67.5 12.2 35.4 4.91 37.7
"653" "Maldives" "1975" 20.1 6.98 2970 41.4 51.7 0.136 477 4.1 17.3
"654" "Mali" "1975" 33.8 7.15 1150 51.7 42.4 6.48 5.48 5.68 16.2
"655" "Malta" "1975" 2.14 2.06 6820 30.2 72 0.322 1010 13.6 89.7
"656" "Mauritania" "1975" 18.7 6.68 3540 45.6 54.9 1.33 1.26 4.66 20.6
"657" "Mauritius" "1975" 6.53 3.26 5600 38.6 64 0.892 438 6.24 43.4
"658" "Mexico" "1975" 9 6.13 10800 51.9 64.2 59.6 30 5.06 62.8
"659" "Micronesia, Fed. Sts." "1975" 6.86 6.68 3000 42.7 58.3 0.0631 95.9 5.11 25.9
"660" "Moldova" "1975" 5.8 2.48 11400 16.6 64 3.84 119 11.6 36.2
"661" "Mongolia" "1975" 18.1 7.14 1610 33.9 55.6 1.48 0.954 7.72 48.7
"662" "Montenegro" "1975" 3.28 2.45 8310 31.1 73.2 0.554 40.5 11.2 31.6
"663" "Morocco" "1975" 16.5 6.16 3050 41.9 57.1 17.8 38.8 4.35 37.7
"664" "Mozambique" "1975" 26.7 6.68 549 53.6 49.8 10.2 12.3 4.68 10.9
"665" "Myanmar" "1975" 15.7 5.46 852 38.1 47 30.6 46.4 6.31 23.9
"666" "Namibia" "1975" 10.1 6.65 7390 53.4 58.8 0.948 1.06 6.01 23.7
"667" "Nepal" "1975" 23.8 5.84 1250 31.5 50.5 13.4 94.6 5.51 4.83
"668" "Netherlands" "1975" 1.31 1.66 26500 31.4 74.7 13.7 406 15.1 63.2
"669" "New Zealand" "1975" 1.83 2.46 24400 28.2 72.4 3.08 11.7 12.9 82.8
"670" "Nicaragua" "1975" 14.7 6.6 6690 52 62.6 2.81 23.7 3.94 48.9
"671" "Niger" "1975" 33.8 7.67 1290 38.5 43.1 5.18 4.21 3.17 11.4
"672" "Nigeria" "1975" 24.4 6.71 2380 36 52 63.4 69 5.22 19.8
"673" "North Korea" "1975" 5.36 3.4 2330 41.5 61.1 16.3 139 5.01 56.7
"674" "North Macedonia" "1975" 6.85 2.66 9690 38.4 68.7 1.8 71.2 9.02 50.6
"675" "Norway" "1975" 1.29 1.98 25400 27.6 75.1 4.01 13.2 19.1 68.2
"676" "Oman" "1975" 16.8 7.75 13900 38.1 59 0.882 2.54 5.42 38.2
"677" "Pakistan" "1975" 17.5 6.61 1800 29.4 59 66.8 88.4 5.4 26.3
"678" "Palestine" "1975" 10.7 7.61 2430 35.1 65.2 1.32 210 3.67 59.6
"679" "Panama" "1975" 5.15 4.54 7540 51.4 71.6 1.75 23.4 5.93 49
"680" "Papua New Guinea" "1975" 12.3 6 2540 46.3 61.1 3.14 6.17 1.99 11.9
"681" "Paraguay" "1975" 7.31 5.22 4820 40.8 71.4 2.79 6.71 6.09 39
"682" "Peru" "1975" 14.2 5.71 7780 49.6 63.4 15.4 12.1 6.11 61.5
"683" "Philippines" "1975" 8.2 5.72 3830 41.5 64.1 41.3 141 4.64 35.6
"684" "Poland" "1975" 2.78 2.22 11800 25.2 71.1 34 111 13.8 55.3
"685" "Portugal" "1975" 4.35 2.71 13100 41.4 69.3 9.17 100 15.2 40.8
"686" "Qatar" "1975" 4.73 6.46 150000 33.2 68.7 0.164 16.8 2.68 88.9
"687" "Romania" "1975" 4.28 2.61 7730 15.7 69.9 21.7 92 14.5 42.8
"688" "Russia" "1975" 3.11 1.97 16200 22 68.6 134 8.17 13.6 66.4
"689" "Rwanda" "1975" 24.7 8.37 664 34.5 45 4.36 187 4.17 4
"690" "Samoa" "1975" 7.33 6.76 3670 40.7 63.6 0.151 54.9 4.31 21
"691" "Sao Tome and Principe" "1975" 8.86 6.53 2870 32 60.7 0.0831 89.6 6.99 31.6
"692" "Saudi Arabia" "1975" 13.1 7.31 21800 37 63.6 7.42 3.67 4.6 58.3
"693" "Senegal" "1975" 25.2 7.29 2670 55.4 49.9 4.93 26.2 4.64 33.7
"694" "Serbia" "1975" 4.99 2.36 10700 35.4 69.2 8.5 97.5 13.7 43.1
"695" "Seychelles" "1975" 5.05 4.85 6620 41.4 68.9 0.0596 133 8.36 46.3
"696" "Sierra Leone" "1975" 30.8 6.61 1590 51.3 47.4 3.04 42.6 6.52 27.7
"697" "Singapore" "1975" 1.74 2.27 13500 45 70.5 2.26 3270 6.66 100
"698" "Slovak Republic" "1975" 3.29 2.5 13900 22.9 70.6 4.75 96.6 14.5 46.3
"699" "Slovenia" "1975" 1.97 2.2 20500 30.9 70.2 1.74 90.2 15.4 42.4
"700" "Solomon Islands" "1975" 7.25 7.24 1120 46.8 50.6 0.193 6.87 5.21 9.13
"701" "Somalia" "1975" 22.1 7.03 1300 35.9 46.1 3.88 6.74 5.39 25.5
"702" "South Africa" "1975" 12.1 5.29 11700 67.3 58.3 25.2 21.1 5.83 48.1
"703" "South Korea" "1975" 4.56 3.46 4530 36.6 65.7 35.4 363 5.65 48
"704" "South Sudan" "1975" 31 6.93 2680 47.5 52.2 3.94 6.59 4.21 8.58
"705" "Spain" "1975" 2.18 2.75 16400 33.3 73.6 35.9 71.2 14.7 69.6
"706" "Sri Lanka" "1975" 6.48 3.78 2640 31.4 64.3 13.8 218 6.83 18.1
"707" "St. Lucia" "1975" 4.56 5.46 4150 42.6 66.7 0.11 181 7.06 25.2
"708" "St. Vincent and the Grenadines" "1975" 7.65 4.97 3150 40.9 66.6 0.0957 266 7.98 33.2
"709" "Sudan" "1975" 15.1 6.94 2620 36.5 52.8 12.1 7.65 4 18.9
"710" "Suriname" "1975" 6.84 4.74 11500 50.4 66.2 0.359 2.51 6.03 53.7
"711" "Sweden" "1975" 1.03 1.77 26900 24.3 75.3 8.2 20.2 20.9 82.7
"712" "Switzerland" "1975" 1.38 1.67 45300 37.3 75 6.34 158 17.5 74.2
"713" "Syria" "1975" 7.92 7.47 10300 36.4 69.8 7.54 40.8 4.92 45.1
"714" "Tajikistan" "1975" 14 6.38 6340 28.5 62.6 3.39 24.3 6.23 35.5
"715" "Tanzania" "1975" 19.6 6.75 1320 26.4 52.8 15.9 18.3 4.46 11.1
"716" "Thailand" "1975" 7.72 4.49 3320 43.8 65.5 42.3 80.1 4.89 23.8
"717" "Timor-Leste" "1975" 24.2 4.79 1380 36.8 47.2 0.629 40.4 4.44 14.6
"718" "Togo" "1975" 19.9 7.28 2000 56.8 53.7 2.41 46.1 4.82 22.9
"719" "Tonga" "1975" 3.7 5.43 2090 39.3 67.4 0.0883 144 4.86 20.3
"720" "Trinidad and Tobago" "1975" 4.6 3.31 13600 48.2 66.8 1.01 205 6.89 47.7
"721" "Tunisia" "1975" 13.4 6.04 4390 51.9 62 5.66 37.1 5.3 47.6
"722" "Turkey" "1975" 15.9 5.06 7520 48 60.7 39.3 51.6 6.96 41.6
"723" "Turkmenistan" "1975" 14.1 5.93 8920 32.1 61.6 2.53 5.38 6.82 47.6
"724" "Uganda" "1975" 19.9 7.1 1330 54.6 52.8 10.7 58.7 4.55 7.04
"725" "Ukraine" "1975" 3.02 2.03 11500 35 70.6 48.8 84.4 15.8 58.4
"726" "United Arab Emirates" "1975" 5.93 6.11 84600 31.9 66 0.548 7.65 3.23 79.8
"727" "United Kingdom" "1975" 1.8 1.83 22200 29.7 72.8 56.2 232 19.7 77.7
"728" "United States" "1975" 1.88 1.77 29300 35.1 72.7 219 23.1 14.9 73.7
"729" "Uruguay" "1975" 5.52 2.98 9580 38 69.3 2.83 16.6 14 83.4
"730" "Uzbekistan" "1975" 13.2 5.84 5170 40.1 65.9 13.9 32.7 6.99 39.1
"731" "Vanuatu" "1975" 8.83 5.93 2370 38.2 59.7 0.0999 8.37 3.42 13.4
"732" "Venezuela" "1975" 5.33 4.67 19000 59.2 67.6 13.2 14.4 4.61 75.8
"733" "Vietnam" "1975" 7.62 5.97 1240 35.9 62.3 48.7 150 8.04 18.8
"734" "Yemen" "1975" 27.1 8.24 3310 37.2 48.7 6.78 14.9 5.21 14.8
"735" "Zambia" "1975" 15.6 7.36 2380 67.3 55.1 4.94 6.63 4.53 34.9
"736" "Zimbabwe" "1975" 11.3 7.4 3460 39.5 59.3 6.29 15.8 4.94 19.9
"737" "Afghanistan" "1980" 24.4 7.45 1190 32.9 43.7 13.4 19.2 4.24 16
"738" "Albania" "1980" 8.08 3.62 4470 26.9 71.3 2.68 107 7.09 33.8
"739" "Algeria" "1980" 14.9 6.79 8840 40.1 58.7 19.2 7.87 4.86 43.5
"740" "Angola" "1980" 23.8 7.5 1780 54.1 48.1 8.34 6.68 3.79 24.3
"741" "Antigua and Barbuda" "1980" 4.48 2.12 7910 39 72.1 0.0619 147 11.5 34.6
"742" "Argentina" "1980" 4.28 3.33 17100 40.8 70.2 27.9 10 11.4 82.9
"743" "Armenia" "1980" 7.29 2.39 6920 41.5 70.2 3.1 110 7.27 66
"744" "Australia" "1980" 1.3 1.9 26300 31 74.5 14.6 1.91 13.7 85.6
"745" "Austria" "1980" 1.63 1.65 28900 35.1 72.8 7.61 91.5 19.1 65.4
"746" "Azerbaijan" "1980" 11.1 3.5 7700 35.6 66.2 6.15 77.2 6.82 52.8
"747" "Bahamas" "1980" 2.95 2.99 32600 43.1 68.6 0.211 41.8 6.55 73.1
"748" "Bahrain" "1980" 3.22 4.92 42800 35.7 68.4 0.36 463 3.46 86.1
"749" "Bangladesh" "1980" 19.9 6.36 1220 24.9 53.2 79.6 645 5.46 14.9
"750" "Barbados" "1980" 2.7 2 13600 48 73 0.252 590 13.9 40.1
"751" "Belarus" "1980" 2.11 2.08 8580 19.6 71 9.57 48.4 13.5 56.5
"752" "Belgium" "1980" 1.45 1.63 28800 29.4 73.3 9.87 325 18.4 95.4
"753" "Belize" "1980" 6.45 5.85 3860 60.8 70.9 0.144 6.36 6.17 49.4
"754" "Benin" "1980" 21.5 7.03 2010 42.1 52.7 3.72 34 6.51 27.3
"755" "Bhutan" "1980" 19.4 6.55 1410 41.3 52.8 0.407 10.8 4.4 10.1
"756" "Bolivia" "1980" 16.8 5.52 5170 46.3 56.8 5.58 5.29 5.9 45.5
"757" "Bosnia and Herzegovina" "1980" 3.77 2.12 5500 30.4 69.7 4.18 82 8.63 35.5
"758" "Botswana" "1980" 7.16 6.21 3870 54.1 61 0.898 1.66 4.51 16.5
"759" "Brazil" "1980" 9.63 4.07 10600 57.9 62.7 121 14.6 5.86 65.5
"760" "Brunei" "1980" 2 4.25 128000 33.5 67.5 0.194 32.6 4.2 64.9
"761" "Bulgaria" "1980" 2.39 2.11 12700 22.9 71.2 8.88 82.8 16.2 62.1
"762" "Burkina Faso" "1980" 23.9 7.13 921 48.4 48.6 6.82 25.3 5.82 8.8
"763" "Burundi" "1980" 22.5 7.42 1040 33.4 48.5 4.16 166 5.1 4.34
"764" "Cambodia" "1980" 18 5.87 1530 42.3 52.2 6.69 34.2 4.94 9.9
"765" "Cameroon" "1980" 18 6.63 4130 30.3 55.4 8.62 18.3 5.97 31.9
"766" "Canada" "1980" 1.25 1.67 29800 32.5 75.2 24.4 2.69 13.3 75.7
"767" "Cape Verde" "1980" 8.95 6.38 1330 52.7 66.8 0.284 78.7 7.36 23.5
"768" "Central African Republic" "1980" 18.6 5.95 1450 66.9 49.2 2.2 3.88 5.67 33.9
"769" "Chad" "1980" 23.9 6.96 790 36.7 50.8 4.51 3.5 5.9 18.8
"770" "Chile" "1980" 3.3 2.78 9300 55.1 69.4 11.4 15.2 7.2 81.2
"771" "China" "1980" 6.25 2.32 1360 28.1 64.4 1000 102 6.91 19.4
"772" "Colombia" "1980" 5.77 3.97 7520 53 68.9 26.9 23.3 5.29 63.7
"773" "Comoros" "1980" 17.5 7.13 2420 50.2 54.5 0.308 176 6.65 23.2
"774" "Congo, Dem. Rep." "1980" 21.1 6.59 2150 42.3 52.1 26.4 11.8 4.64 27.1
"775" "Congo, Rep." "1980" 10.9 6.21 3930 44.5 52.8 1.78 5.36 5.37 47.9
"776" "Costa Rica" "1980" 2.37 3.59 9880 47.4 74.7 2.39 47.3 6.15 43.1
"777" "Cote d'Ivoire" "1980" 16.8 7.6 3780 47.6 56.7 8.03 26.1 4.11 36.8
"778" "Croatia" "1980" 2.44 2 18800 22.5 70.7 4.6 83.7 15.3 47.3
"779" "Cuba" "1980" 2.21 1.89 4770 40.1 73.6 9.85 91.9 10.5 68.1
"780" "Cyprus" "1980" 2.08 2.35 13900 29.9 71.3 0.685 73.5 13.3 58.6
"781" "Czech Republic" "1980" 2.16 2.18 18500 19.8 70.5 10.3 133 16.8 75.2
"782" "Denmark" "1980" 0.997 1.55 30900 31.2 74.4 5.12 121 19.5 83.7
"783" "Djibouti" "1980" 15.4 6.44 3680 36.2 60.8 0.359 14 4.53 72.1
"784" "Dominican Republic" "1980" 8.72 4.42 5440 44.5 69.3 5.8 119 4.92 51.3
"785" "Ecuador" "1980" 9.19 4.73 8400 45.9 67 7.99 32.8 5.61 47
"786" "Egypt" "1980" 16.8 5.6 4610 29.5 58.5 43.3 43.9 6.56 43.9
"787" "El Salvador" "1980" 10.7 5.1 5410 49.5 63.8 4.59 218 4.48 44.1
"788" "Equatorial Guinea" "1980" 21.3 5.84 2670 41.2 50.5 0.25 10.1 6.47 27.9
"789" "Estonia" "1980" 2.25 2.06 13500 32.8 69.7 1.47 34 16 69.7
"790" "Eswatini" "1980" 11.5 6.65 3720 61.3 57.3 0.588 34.5 4.32 16.5
"791" "Ethiopia" "1980" 23.9 7.32 978 49.9 44.6 35.1 34.9 4.63 10.4
"792" "Fiji" "1980" 4.43 3.91 7440 43.1 66.5 0.635 35.3 4.28 37.8
"793" "Finland" "1980" 0.865 1.63 24900 22.8 74 4.79 15.8 16.4 71.7
"794" "France" "1980" 1.23 1.84 27900 35.8 74.7 53.9 97.4 17.2 73.3
"795" "Gabon" "1980" 11.7 5.69 20100 59.3 58.1 0.726 2.91 9.75 54.7
"796" "Gambia" "1980" 23.2 6.34 1940 41.5 58.2 0.637 71 5.5 28.4
"797" "Georgia" "1980" 5.93 2.31 10500 28 68.5 5.02 74.1 11.8 52.5
"798" "Germany" "1980" 1.5 1.47 30400 28.9 73.3 78.3 223 19.4 72.8
"799" "Ghana" "1980" 16.6 6.54 2460 39.2 57.5 11.1 52.1 4.15 31.2
"800" "Greece" "1980" 1.95 2.27 20000 37.5 75.3 9.63 71.1 17.5 69.3
"801" "Grenada" "1980" 3.46 4.25 5300 39.8 69.3 0.089 279 9.62 32.9
"802" "Guatemala" "1980" 12.2 6.34 7060 53.8 58 7.28 65.2 4.5 38.7
"803" "Guinea" "1980" 28.4 6.53 1440 49.6 47.3 4.87 20.2 6.63 23.6
"804" "Guinea-Bissau" "1980" 25.8 6.49 1730 43.4 45.3 0.782 29.6 6.67 17.8
"805" "Guyana" "1980" 7.01 3.82 5680 44.5 62.4 0.78 3.95 5.45 30.5
"806" "Haiti" "1980" 18.9 6.06 3840 58 51.3 5.64 205 6.51 20.5
"807" "Honduras" "1980" 9.48 6.31 4220 62.4 67.9 3.68 34.6 4.77 34.9
"808" "Hong Kong, China" "1980" 1.35 1.94 18400 45.1 74.9 4.87 4530 9.88 91.5
"809" "Hungary" "1980" 2.39 2.04 15600 20.5 69.1 10.8 118 17.2 64.2
"810" "Iceland" "1980" 0.97 2.31 28900 25.8 76.5 0.228 2.28 13.5 88.3
"811" "India" "1980" 16.8 4.83 1450 31.4 55.2 699 234 6.28 23.1
"812" "Indonesia" "1980" 12.1 4.43 3400 33.4 59.7 147 77.5 5.77 22.1
"813" "Iran" "1980" 10.7 6.48 8940 43.6 64.7 38.7 23.6 5.13 49.7
"814" "Iraq" "1980" 7.24 6.57 11800 29.9 64.5 13.7 31.4 6.65 65.5
"815" "Ireland" "1980" 1.43 3 18000 36.4 72.7 3.38 49.6 14.9 55.3
"816" "Israel" "1980" 1.8 3.28 20000 36.3 74.2 3.7 173 12.2 88.6
"817" "Italy" "1980" 1.61 1.69 27800 34.1 74.2 56.3 190 17.2 66.6
"818" "Jamaica" "1980" 4.09 3.73 6650 36.9 73.8 2.16 197 9.95 46.7
"819" "Japan" "1980" 0.989 1.78 24000 31.6 76.6 118 312 13.1 76.2
"820" "Jordan" "1980" 5.53 7.26 9010 35.4 67.1 2.38 25 3.79 60
"821" "Kazakhstan" "1980" 6.99 3.11 13600 38 66.9 14.8 5.25 8.19 54.1
"822" "Kenya" "1980" 11.1 7.46 2790 63.6 62.2 16.4 27.9 3.33 15.6
"823" "Kiribati" "1980" 12.1 5.07 2540 36.6 54.8 0.0593 83.8 5.68 32.3
"824" "Kuwait" "1980" 3.6 5.32 64200 34.9 72.5 1.37 83.8 2.2 94.8
"825" "Kyrgyz Republic" "1980" 9.93 4.37 5770 38.1 64.3 3.61 19.2 6.65 38.6
"826" "Lao" "1980" 20.5 6.28 1340 34.4 47.3 3.26 14.3 5.45 12.4
"827" "Latvia" "1980" 2.07 1.94 15600 23.6 69.2 2.52 41.3 16.4 67.1
"828" "Lebanon" "1980" 4.99 4 5360 42.1 69.4 2.59 290 6.41 73.7
"829" "Lesotho" "1980" 12.4 5.59 1150 55.8 58.5 1.34 46.4 6.05 11.4
"830" "Liberia" "1980" 24.3 6.97 2380 36.8 50.3 1.85 20.1 4.46 35.2
"831" "Libya" "1980" 7.06 7.22 12200 38.2 69.8 3.22 1.77 4.19 70.1
"832" "Lithuania" "1980" 2.05 2.06 15600 25.3 70.6 3.43 56.2 14.3 61.2
"833" "Luxembourg" "1980" 1.34 1.46 41800 26.1 72.6 0.364 140 17.7 80
"834" "Madagascar" "1980" 17.4 6.73 2300 46.8 54.9 8.72 15.4 4.98 18.5
"835" "Malawi" "1980" 25.3 7.64 1130 51.6 48.8 6.25 66.3 5.06 9.05
"836" "Malaysia" "1980" 3.03 4.07 7160 50.4 70.5 13.8 40.2 5.27 42
"837" "Maldives" "1980" 15 7.08 4270 41.4 56 0.158 550 4.27 22.3
"838" "Mali" "1980" 29.7 7.15 1380 51.4 45.8 7.09 6.04 5.94 18.5
"839" "Malta" "1980" 1.69 2.03 10700 29.4 72.7 0.331 1060 13.5 89.8
"840" "Mauritania" "1980" 16.4 6.46 4030 47.3 56.8 1.54 1.46 4.72 27.4
"841" "Mauritius" "1980" 4.03 2.67 5930 40.9 67.2 0.966 470 6.62 42.4
"842" "Mexico" "1980" 7.31 4.84 14100 49.9 66.2 67.8 34.6 5.31 66.3
"843" "Micronesia, Fed. Sts." "1980" 5.81 6.22 2660 43 59.7 0.0729 109 4.92 26.4
"844" "Moldova" "1980" 5.03 2.48 12500 20.2 65.8 4.01 125 11.7 40.4
"845" "Mongolia" "1980" 16.1 6.21 1880 33.6 57.2 1.69 1.09 6.98 52.1
"846" "Montenegro" "1980" 2.99 2.24 13800 30.3 73.6 0.581 42.7 11 36.8
"847" "Morocco" "1980" 13.2 5.68 3640 39.4 60.6 20 44.1 4.17 41.2
"848" "Mozambique" "1980" 26.3 6.46 551 53.8 50.5 11.6 14.5 4.77 13.2
"849" "Myanmar" "1980" 14 4.92 908 38.1 50.6 34.2 51.2 6.57 24
"850" "Namibia" "1980" 10.2 6.45 7420 58.6 58.9 1.06 1.19 5.93 25.1
"851" "Nepal" "1980" 20.8 5.73 1280 30.7 51.9 15 106 5.61 6.09
"852" "Netherlands" "1980" 1.09 1.6 29800 28.9 75.9 14.1 420 15.7 64.7
"853" "New Zealand" "1980" 1.56 2.15 24500 27.5 73.4 3.15 11.9 13.7 83.4
"854" "Nicaragua" "1980" 10.8 6.13 4750 52.1 66.4 3.27 27.4 3.99 50.3
"855" "Niger" "1980" 32 7.84 1610 37.2 44.9 5.99 4.87 3.34 13.4
"856" "Nigeria" "1980" 21.3 6.78 2420 36 54.1 73.4 80.1 5.2 22
"857" "North Korea" "1980" 4.32 2.77 2620 41.2 64 17.5 149 5.45 56.9
"858" "North Macedonia" "1980" 6.01 2.49 12000 38.1 70.1 1.92 76.5 9.28 53.5
"859" "Norway" "1980" 1.01 1.72 32200 26.6 76 4.09 13.4 20.3 70.5
